,year,category,nominee,artist,workers,winner
256,2019,Best Traditional Blues Album,Spectacular Class,Jontavious Willis,,False
257,2019,Best Contemporary Blues Album,This Land,Gary Clark Jr.,,True
258,2019,Best Contemporary Blues Album,Venom & Faith,Larkin Poe,,False
259,2019,Best Contemporary Blues Album,Brighter Days,Robert Randolph & The Family Band,,False
260,2019,Best Contemporary Blues Album,Somebody Save Me,Sugaray Rayford,,False
261,2019,Best Contemporary Blues Album,Keep On,Southern Avenue,,False
262,2019,Best Folk Album,Patty Griffin,Patty Griffin,,True
263,2019,Best Folk Album,My Finest Work Yet,Andrew Bird,,False
264,2019,Best Folk Album,Rearrange My Heart,Che Apalache,,False
265,2019,Best Folk Album,Evening Machines,Gregory Alan Isakov,,False
266,2019,Best Folk Album,Front Porch,Joy Williams,,False
267,2019,Best Regional Roots Music Album,Good Time,Ranky Tanky,,True
268,2019,Best Regional Roots Music Album,Kalawai’anui,Amy Hānaiali’i,,False
269,2019,Best Regional Roots Music Album,When It's Cold - Cree Round Dance Songs,Northern Cree,,False
270,2019,Best Regional Roots Music Album,Recorded Live At The 2019 New Orleans Jazz & Heritage Festival,Rebirth Brass Band,,False
271,2019,Best Regional Roots Music Album,Hawaiian Lullaby,(Various Artists),"Imua Garza & Kimié Miner, producers",False
272,2019,Best Reggae Album,Rapture,Koffee,,True
273,2019,Best Reggae Album,As I Am,Julian Marley,,False
274,2019,Best Reggae Album,The Final Battle: Sly & Robbie vs. Roots Radics,Sly & Robbie & Roots Radics,,False
275,2019,Best Reggae Album,Mass Manipulation,Steel Pulse,,False
276,2019,Best Reggae Album,More Work To Be Done,Third World,,False
277,2019,Best World Music Album,Celia,Angelique Kidjo,,True
278,2019,Best World Music Album,Gece,Altin Gün,,False
279,2019,Best World Music Album,What Heat,Bokanté & Metropole Orkest Conducted By Jules Buckley,,False
280,2019,Best World Music Album,African Giant,Burna Boy,,False
281,2019,Best World Music Album,Fanm D'ayiti,Nathalie Joachim With Spektral Quartet,,False
282,2019,Best Children's Music Album,Ageless: Songs for the Child Archetype,Jon Samson,,True
283,2019,Best Children's Music Album,Flying High!,Caspar Babypants,,False
284,2019,Best Children's Music Album,I Love Rainy Days,Daniel Tashian,,False
285,2019,Best Children's Music Album,The Love,Alphabet Rockers,,False
286,2019,Best Children's Music Album,Winterland,The Okee Dokee Brothers,,False
287,2019,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",Becoming,Michelle Obama,,True
